Type,Source,Original,Translation
title,versions-62-/data/all_mob_heads/advancement/collection/passives.json,Passives,友好
description,versions-62-/data/all_mob_heads/advancement/collection/passives.json,Passive Mob Heads Collection,友好生物頭顱系列
title,versions-62-/data/all_mob_heads/advancement/collection/root.json,Heads Collection,生物頭顱收集
description,versions-62-/data/all_mob_heads/advancement/collection/root.json,Collect Them All,全部收集
title,versions-62-/data/all_mob_heads/advancement/collection/passives/pig.json,Pig,豬
description,versions-62-/data/all_mob_heads/advancement/collection/passives/pig.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
title,versions-62-/data/all_mob_heads/advancement/collection/passives/warm_pig.json,Warm Pig,溫帶豬
description,versions-62-/data/all_mob_heads/advancement/collection/passives/warm_pig.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
title,versions-62-/data/all_mob_heads/advancement/collection/passives/bat.json,Bat,蝙蝠
description,versions-62-/data/all_mob_heads/advancement/collection/passives/bat.json,2% with Looting I then + 2% per Looting,掠奪 I 為 2%，多一級掠奪 + 2%
title,versions-62-/data/all_mob_heads/advancement/collection/passives/cold_pig.json,Cold Pig,寒帶豬
description,versions-62-/data/all_mob_heads/advancement/collection/passives/cold_pig.json,0.1% with Looting I then + 1% per Looting,掠奪 I 為 0.1%，多一級掠奪 + 1%
minecraft:custom_name,versions-62-/data/minecraft/loot_table/blocks/creaking_heart.json,Creaking,吱吱作響
minecraft:custom_name,versions-62-/data/minecraft/loot_table/blocks/creaking_heart.json,Creaking,吱吱作響
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/goat.json,Goat,山羊
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/pig.json,Pig,豬
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/pig.json,Cold Pig,寒帶豬
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/pig.json,Warm Pig,溫帶豬
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/elder_guardian.json,Elder Guardian,遠古深海守衛
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/wither.json,Wither,凋零怪
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/wither.json,Invulnerable Wither,無敵凋零怪
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/wither.json,Wither,凋零怪
minecraft:custom_name,versions-62-/data/minecraft/loot_table/entities/wither.json,Invulnerable Wither,無敵凋零怪
